DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Start Year,Start Month,End Year,End Month,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update,Admin Cities,Latitude,Longitude
1964-0023-SAU,Yes,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,SAU,Saudi Arabia,Western Asia,Asia,Najran,Yes,No,No,2600479.0,5.179848324128947,Km2,1964,4,1964,4,20.0,0.0,1000.0,0.0,1000.0,2507748.0,2610674.0,2595904.0,2539430.0,2614700.0,2480723.0,9.88771329072367,,2003-07-01,2023-09-25,,,
1982-0334-SAU,Yes,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,SAU,Saudi Arabia,Western Asia,Asia,Southern Region,No,No,No,2994978.0,5.122678591456225,Kph,1982,2,1982,2,0.0,0.0,0.0,0.0,0.0,1734630.0,2502093.0,236502.0,2716071.0,286503.0,1763631.0,30.762961782019765,,2003-07-01,2023-09-25,,,
1985-0346-SAU,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),SAU,Saudi Arabia,Western Asia,Asia,Northwest Region,No,No,No,3254795.0,5.179848324128947,Km2,1985,12,1985,12,32.0,0.0,0.0,5000.0,5000.0,1676050.0,4620023.0,106513.0,2124765.0,4776848.0,4003710.0,34.29086949852926,,2003-07-01,2023-09-25,,,
2000-0213-SAU,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,SAU,Saudi Arabia,Western Asia,Asia,,No,No,No,4646321.0,4.961488415318209,Vaccinated,2000,3,2000,4,57.0,0.0,168.0,0.0,168.0,4047081.0,1480881.0,3320233.0,4558119.0,845238.0,167134.0,54.89515197353657,,2005-06-16,2023-09-25,,,
2000-0592-SAU,No,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,SAU,Saudi Arabia,Western Asia,Asia,Jizan,No,No,No,3605086.0,4.961488415318209,Vaccinated,2000,9,2000,10,76.0,0.0,329.0,0.0,329.0,4893603.0,2710313.0,1233496.0,4859088.0,162871.0,3208064.0,54.89515197353657,,2005-06-17,2023-09-25,,,
2001-0125-SAU,No,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,SAU,Saudi Arabia,Western Asia,Asia,,No,No,No,4218763.0,4.961488415318209,Vaccinated,2001,2,2001,3,35.0,0.0,74.0,0.0,74.0,3502576.0,3515268.0,3691317.0,331012.0,1318745.0,1581686.0,56.44657635473563,,2005-06-22,2023-09-25,,,
2002-0210-SAU,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,SAU,Saudi Arabia,Western Asia,Asia,Makkah,No,No,No,2595252.0,22810.0,Km2,2002,4,2002,4,19.0,0.0,0.0,0.0,0.0,2988294.0,298562.0,1791029.0,3932112.0,3063809.0,1579775.0,57.34184015407783,"[{""adm1_code"":2629,""adm1_name"":""Makkah""}]",2005-09-22,2023-09-25,['Makkah'],,
2003-0423-SAU,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,SAU,Saudi Arabia,Western Asia,Asia,Jizan,No,No,No,580963.0,5.179848324128947,Km2,2003,8,2003,8,0.0,0.0,13000.0,0.0,13000.0,3244277.0,2933977.0,4630774.0,1802155.0,404786.0,3644794.0,58.6435529778532,"[{""adm1_code"":2627,""adm1_name"":""Jizan""}]",2003-10-10,2023-09-25,['Jizan'],,
2003-0538-SAU,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,SAU,Saudi Arabia,Western Asia,Asia,Makkah,No,No,No,3766824.0,5.179848324128947,Km2,2003,11,2003,11,12.0,50.0,0.0,0.0,50.0,1228212.0,2529087.0,518051.0,3905939.0,2646068.0,3640193.0,58.6435529778532,"[{""adm1_code"":2629,""adm1_name"":""Makkah""}]",2003-11-14,2023-09-25,['Makkah'],,
2004-0180-SAU,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,SAU,Saudi Arabia,Western Asia,Asia,Jizan,No,No,No,4454935.0,2680.0,Km2,2004,4,2004,4,5.0,30.0,400.0,0.0,430.0,4973661.0,1115620.0,3230699.0,3779837.0,2982300.0,107173.0,60.21357973293278,"[{""adm1_code"":2627,""adm1_name"":""Jizan""}]",2004-07-07,2024-10-25,['Jizan'],,
2005-0028-SAU,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,SAU,Saudi Arabia,Western Asia,Asia,Madinah,No,No,No,4385322.0,22760.0,Km2,2005,1,2005,1,29.0,17.0,50.0,0.0,67.0,338433.0,2962924.0,2782891.0,3643815.0,3800826.0,1967519.0,62.25647852982311,"[{""adm1_code"":2628,""adm1_name"":""Madinah""}]",2006-02-27,2023-09-25,['Madinah'],,
2005-0228-SAU,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,SAU,Saudi Arabia,Western Asia,Asia,"Asir, Makkah",No,No,No,351815.0,5.179848324128947,Km2,2005,4,2005,4,34.0,0.0,0.0,0.0,0.0,2835765.0,2286701.0,4938893.0,2234910.0,1852372.0,4568147.0,62.25647852982311,"[{""adm1_code"":2622,""adm1_name"":""Asir""},{""adm1_code"":2629,""adm1_name"":""Makkah""}]",2006-02-27,2023-09-25,"['Asir', 'Makkah']",,
2009-0522-SAU,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,SAU,Saudi Arabia,Western Asia,Asia,"Jeddah, Makkah",No,No,No,669614.0,114600.0,Km2,2009,11,2009,11,161.0,0.0,0.0,10000.0,10000.0,793446.0,2555033.0,2324545.0,4436519.0,2596543.0,4809431.0,68.39164268330555,"[{""adm1_code"":2629,""adm1_name"":""Makkah""}]",2010-03-10,2023-09-25,['Makkah'],40.23,21.24
2010-0297-SAU,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,SAU,Saudi Arabia,Western Asia,Asia,"Taif, Asir, Jizan, Najran",No,No,No,3217751.0,346200.0,Km2,2010,7,2010,7,14.0,0.0,0.0,0.0,0.0,4505085.0,1011600.0,1604776.0,1501251.0,757352.0,878704.0,69.51329329264284,"[{""adm1_code"":2622,""adm1_name"":""Asir""},{""adm1_code"":2627,""adm1_name"":""Jizan""},{""adm1_code"":2629,""adm1_name"":""Makkah""},{""adm1_code"":2630,""adm1_name"":""Najran""}]",2010-07-27,2023-09-25,"['Asir', 'Jizan', 'Makkah', 'Najran']",21.51,41.92
2010-0338-SAU,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,SAU,Saudi Arabia,Western Asia,Asia,"Makkah, Najran, Jizan",No,No,No,4575819.0,56000.0,Km2,2010,7,2010,7,10.0,0.0,85.0,0.0,85.0,4941703.0,3494019.0,4658537.0,1339600.0,3394499.0,2064359.0,69.51329329264284,"[{""adm1_code"":2627,""adm1_name"":""Jizan""},{""adm1_code"":2629,""adm1_name"":""Makkah""},{""adm1_code"":2630,""adm1_name"":""Najran""}]",2010-07-28,2023-09-25,"['Jizan', 'Makkah', 'Najran']",20.61,41.17
2011-0022-SAU,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,SAU,Saudi Arabia,Western Asia,Asia,Jeddah,No,No,No,4747835.0,30361.0,Km2,2011,1,2011,1,11.0,0.0,0.0,0.0,0.0,1243146.0,3339781.0,2791078.0,251210.0,478543.0,4953959.0,71.7077236119433,"[{""adm1_code"":2629,""adm1_name"":""Makkah""}]",2011-02-08,2025-06-25,['Makkah'],21.3521,39.94
2012-0188-SAU,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,SAU,Saudi Arabia,Western Asia,Asia,"Asir, Baha, Hail, Jizan, Madinah, Makkah, Tabuk",No,No,No,2600479.0,233126.0,Km2,2012,4,2012,4,19.0,0.0,0.0,0.0,0.0,2507748.0,2610674.0,2595904.0,2539430.0,2614700.0,2480723.0,73.19159160611325,"[{""adm1_code"":2622,""adm1_name"":""Asir""},{""adm1_code"":2623,""adm1_name"":""Baha""},{""adm1_code"":2625,""adm1_name"":""Hail""},{""adm1_code"":2627,""adm1_name"":""Jizan""},{""adm1_code"":2628,""adm1_name"":""Madinah""},{""adm1_code"":2629,""adm1_name"":""Makkah""},{""adm1_code"":2634,""adm1_name"":""Tabuk""}]",2012-07-05,2023-09-25,"['Asir', 'Baha', 'Hail', 'Jizan', 'Madinah', 'Makkah', 'Tabuk']",20.5946,51.01
2013-0159-SAU,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,SAU,Saudi Arabia,Western Asia,Asia,Asir,No,No,No,627472.0,5.179848324128947,Km2,2013,5,2013,5,24.0,0.0,900.0,0.0,900.0,4622560.0,432288.0,3349186.0,3921454.0,502153.0,383368.0,74.26372907327385,"[{""adm1_code"":2622,""adm1_name"":""Asir""}]",2014-04-02,2023-09-25,['Asir'],,
2013-0445-SAU,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,SAU,Saudi Arabia,Western Asia,Asia,"Riyadh, Northern Borders",No,No,No,3404357.0,5.179848324128947,Km2,2013,11,2013,11,15.0,0.0,121.0,0.0,121.0,1595868.0,605992.0,4175783.0,2380186.0,2712349.0,4932845.0,74.26372907327385,"[{""adm1_code"":2631,""adm1_name"":""Northern Frontier""},{""adm1_code"":2633,""adm1_name"":""Riyad""}]",2013-11-28,2025-06-25,"['Northern Frontier', 'Riyad']",27.41,44.81
2015-0130-SAU,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,SAU,Saudi Arabia,Western Asia,Asia,"Makkah, Asir, Najran, Riyadh",No,No,No,2600479.0,5.179848324128947,Km2,2015,3,2015,3,11.0,0.0,0.0,0.0,0.0,2507748.0,2610674.0,2595904.0,2539430.0,2614700.0,2480723.0,75.55797676894446,"[{""adm1_code"":2622,""adm1_name"":""Asir""},{""adm1_code"":2629,""adm1_name"":""Makkah""},{""adm1_code"":2630,""adm1_name"":""Najran""},{""adm1_code"":2633,""adm1_name"":""Riyad""}]",2015-04-09,2023-09-25,"['Asir', 'Makkah', 'Najran', 'Riyad']",,
